year,region,country,permanent,temporary,irregular ,total,new_hires_2003,new_hires_2012
2003,Europe ,Belgium ,3473,2524,4933,10930,-,-
2003,Europe ,France ,1082,4808,26121,32011,-,-
2003,Europe ,Germany ,42489,7015,4392,53896,-,-
2003,Europe ,Greece ,88,15527,7500,23115,-,-
2003,Europe ,Italy ,4075,70113,50000,124188,-,-
2003,Europe ,Netherlands,10250,2368,1000,13618,-,-
2003,Europe ,Spain ,15753,6071,4000,25824,-,-
2003,Europe ,Switzerland ,842,5971,6199,13012,-,-
2003,Europe ,United Kingdom ,46234,38256,7125,91615,-,-
2003,Europe ,Others or Unspecified ,18890,305186,30540,354616,-,-
2003,Americas or Trust Territories ,Americas or Trust Territories Total,2386036,286103,709676,3381815,-,-
2003,Americas or Trust Territories ,Canada ,359118,30027,2975,392120,-,-
2003,Americas or Trust Territories ,United States ,1979408,99815,510000,2589223,-,-
2003,Americas or Trust Territories ,Commonwealth of the Northern Mariana Islands,1288,15399,1201,17888,-,-
2003,Americas or Trust Territories ,Guam ,44917,1628,500,47045,-,-
2003,Americas or Trust Territories ,Others or Unspecified ,1305,139234,195000,335539,-,-
2003,Oceania ,Oceania Total,226168,55814,31001,312983,-,-
2003,Oceania ,Australia ,209017,716,2923,212656,-,-
2003,Oceania ,New Zealand ,17051,260,120,17431,-,-
2003,Oceania ,Palau ,5,3266,400,3671,-,-
2003,Oceania ,Papua New Guinea ,64,4140,7339,11543,-,-
2003,Oceania ,Others or Unspecified ,31,47432,20219,67682,-,-
2003,Region Unspecified ,Region Unspecified ,-,8767,-,8767,-,-
2003,Seabased Workers ,Seabased Workers ,-,216031,-,216031,-,-
2004,World,World Total,3204326,2899620,1039191,7143137,-,-
2004,Africa,Africa Total,764,31386,6570,38720,-,-
2004,Africa,Afars and Issas,0,9,5,14,-,-
2004,Africa,Algeria,0,1587,500,2087,-,-
2004,Africa,Angola,55,1000,500,1555,-,-
2004,Africa,Benin,0,42,20,62,-,-
2004,Africa,Botswana,15,274,100,389,-,-
2004,Africa,Burkina Faso,0,10,20,30,-,-
2004,Africa,Burundi,0,7,15,22,-,-
2004,Africa,Cameroon,0,50,30,80,-,-
2004,Africa,Cape Verde,0,19,10,29,-,-
2004,Africa,Central African Republic,0,46,15,61,-,-
2004,Africa,Chad,0,200,300,500,-,-
2004,Africa,Congo  ,0,260,100,360,-,-
2004,Africa,Congo Democratic Republic,0,5,0,5,-,-
2004,Africa,Cote D'Ivoire (Ivory Coast) ,5,32,60,97,-,-
2004,Africa,Djibouti,0,87,0,87,-,-
2004,Africa,Egypt,54,2620,1420,4094,-,-
2004,Africa,Equatorial Guinea,0,2569,150,2719,-,-
2004,Africa,Eritrea,0,85,5,90,-,-
2004,Africa,Ethiopia,0,56,20,76,-,-
2004,Africa,Gabon,0,150,50,200,-,-
2004,Africa,Gambia,0,50,10,60,-,-
2004,Africa,Ghana,25,128,100,253,-,-
2004,Africa,Guinea,2,161,20,183,-,-
2004,Africa,Guinea Bissau,0,8,3,11,-,-
